


Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	duration	error to record, %	error to critical path, %	calculation time, sec.	is valid
37_1	151	4,13793	57,2917	25	OK
37_7	169	4,96894	106,098	25	OK
31_1	208	5,05051	126,087	26	OK
31_7	219	6,31068	99,0909	28	OK
38_3	159	2,58065	51,4286	24	OK
32_9	131	3,14961	52,3256	22	OK
33_5	147	3,52113	36,1111	24	OK
34_1	79	1,28205	9,72222	19	OK
34_7	105	0	0	21	OK
35_3	77	0	0	20	OK
38_9	139	3,73134	3,73134	26	OK
36_5	243	6,11354	155,789	28	OK
41_9	122	0,826446	28,4211	16	OK
43_1	105	0	5	15	OK
39_5	106	0	0	22	OK
42_5	121	0,833333	12,037	16	OK
46_7	176	3,52941	66,0377	22	OK
47_3	130	4	31,3131	20	OK
40_1	82	1,23457	5,12821	20	OK
40_7	91	0	0	18	OK
47_9	146	1,38889	40,3846	21	OK
50_9	101	0	0	16	OK
43_7	122	0	4,2735	15	OK
44_3	107	0	0	14	OK
44_9	91	0	0	14	OK
45_5	116	0	1,75439	15	OK
46_1	192	2,12766	61,3445	23	OK
50_3	111	0	0	16	OK
56_9	305	5,90278	201,98	29	OK
57_5	185	3,35196	92,7083	25	OK
48_5	111	0,909091	19,3548	19	OK
49_1	96	0	0	17	OK
49_7	100	1,0101	3,09278	18	OK
52_1	186	5,68182	64,6018	24	OK
51_5	245	6,52174	140,196	25	OK
52_7	154	3,3557	62,1053	24	OK
53_9	170	3,0303	30,7692	25	OK
54_5	111	1,83486	20,6522	21	OK
55_1	103	3	4,0404	21	OK
58_1	148	4,96454	22,314	24	OK
53_3	115	2,67857	11,6505	21	OK
55_7	105	0	0	16	OK
56_3	254	5,39419	173,118	27	OK
58_7	153	4,08163	34,2105	25	OK
59_3	109	0,925926	0,925926	21	OK
59_9	120	0,840336	7,14286	22	OK
60_5	107	1,90476	11,4583	21	OK
average		2,0045	32,6217	20,22



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
1_2	112	2,75229	30,2326	95	OK
1_3	126	0,8	53,6585	91	OK
1_4	97	0	22,7848	110	OK
1_5	112	0	19,1489	93	OK
1_6	85	1,19048	30,7692	102	OK
1_8	110	0,917431	29,4118	87	OK
1_9	112	0	25,8427	103	OK
1_10	108	0	21,3483	101	OK
average		0,707525	29,1496	97,75



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
1_2	111	1,83486	29,0698	16	OK
1_3	127	1,6	54,8781	18	OK
1_4	97	0	22,7848	16	OK
1_5	112	0	19,1489	16	OK
1_6	84	0	29,2308	16	OK
1_8	112	2,75229	31,7647	16	OK
1_9	112	0	25,8427	17	OK
1_10	108	0	21,3483	17	OK
average		0,773394	29,2585	16,5



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
9_1	88	0	0	105	OK
9_2	94	0	0	87	OK
9_3	87	0	0	98	OK
9_4	89	2,29885	11,25	109	OK
9_6	99	1,02041	1,02041	99	OK
9_7	80	0	0	92	OK
9_8	80	0	0	73	OK
9_9	87	0	0	87	OK
9_10	84	0	0	113	OK
8_1	96	1,05263	1,05263	115	OK
8_2	107	3,8835	18,8889	120	OK
8_4	99	5,31915	11,236	124	OK
8_5	108	3,84615	18,6813	124	OK
8_6	88	3,52941	7,31707	114	OK
8_7	90	3,44828	3,44828	123	OK
8_8	90	3,44828	3,44828	112	OK
8_10	96	3,22581	15,6627	122	OK
average		1,82779	5,41209	106,882



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
2_8	83	0	7,79221	81	OK
2_1	88	1,14943	25,7143	99	OK
2_2	76	1,33333	4,10959	82	OK
2_4	95	0	7,95455	78	OK
2_5	103	0	13,1868	83	OK
2_6	92	0	22,6667	99	OK
2_7	90	0	7,14286	82	OK
2_10	98	2,08333	24,0506	100	OK
average		0,570762	14,0772	88



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
9_1	88	0	0	19	OK
9_2	94	0	0	16	OK
9_3	87	0	0	18	OK
9_4	88	1,14943	10	19	OK
9_6	98	0	0	20	OK
9_7	80	0	0	16	OK
9_8	80	0	0	16	OK
9_9	87	0	0	18	OK
9_10	84	0	0	19	OK
8_1	95	0	0	20	OK
8_2	107	3,8835	18,8889	21	OK
8_4	98	4,25532	10,1124	22	OK
8_5	106	1,92308	16,4835	21	OK
8_6	87	2,35294	6,09756	19	OK
8_7	88	1,14943	1,14943	20	OK
8_8	88	1,14943	1,14943	20	OK
8_10	94	1,07527	13,253	21	OK
average		0,996375	4,53731	19,1176



Method: solveWithMyGA
maxGeneratedSchedules	populationSize	maxParents	maxChildren	numberOfChildrenInNextGeneration	timesPingPongInitialPopulation	probabilityKP	probabilityParentSelection	permissibleResourceRemains	swapAndMovePermissibleTimes
5000	40	20	40	10	100	0,5	0,8	0,9	10
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
2_8	83	0	7,79221	15	OK
2_1	87	0	24,2857	15	OK
2_2	75	0	2,73973	16	OK
2_4	95	0	7,95455	16	OK
2_5	105	1,94175	15,3846	15	OK
2_6	92	0	22,6667	15	OK
2_7	90	0	7,14286	15	OK
2_10	98	2,08333	24,0506	17	OK
average		0,503135	14,0021	15,5



Method: solveWithScheduleKochetovStolyar2003
probabilityKP	probabilitySN	tabuListSize	changingInterval	maxIterationNumber
0,5	0,2	5	10	5000
Name	Duration	Error to record, %	Error to critical path, %	Calculation time, sec.	Is valid
16_2	242	4,31034	184,706	187	OK
16_3	243	3,84615	150,515	182	OK
16_4	206	3	157,5	176	OK
16_5	209	4,5	127,174	176	OK
16_6	213	3,39806	169,62	186	OK
16_8	200	2,5641	159,74	185	OK
16_9	213	3,90244	142,045	200	OK
16_10	222	4,22535	126,531	180	OK
